"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"family ties (with Kendrick Lamar)","2021-08-25","N/A","Hip Hop","N/A","N/A","Baby Keem, Kendrick Lamar","N/A","N/A","N/A","N/A","2437","N/A","N/A","N/A","N/A","139407193.6","N/A","N/A","N/A","151727409","1155229996","N/A","N/A","N/A","20152164","169194644","N/A","N/A","N/A","8953","N/A","N/A","N/A","N/A","3105531","38331114","N/A","N/A","N/A","N/A","N/A"
"Into It","1947-12-01","N/A","Hip Hop","N/A","N/A","trapnation.aze, haashimovh, lovekillsus","N/A","N/A","N/A","N/A","2456","N/A","N/A","N/A","N/A","138441160.6","N/A","N/A","N/A","181966990","845782796","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rara Vez","2023-02-08","N/A","Hip Hop","N/A","N/A","Taiu, Milo j","N/A","N/A","N/A","N/A","2499","N/A","N/A","N/A","N/A","136683275.355","N/A","N/A","N/A","157234908","898885988","N/A","N/A","N/A","13228205","21739617","N/A","N/A","N/A","10432","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1030661"
"444 - Remix","2025-10-30","N/A","Latin","N/A","N/A","Yan Block, De La Rose, Hades66, Ñengo Flow","N/A","N/A","N/A","N/A","2501","N/A","N/A","N/A","N/A","136650423.455","N/A","N/A","N/A","80968488","82952656","N/A","N/A","N/A","59593579","63035368","N/A","N/A","N/A","16","N/A","N/A","N/A","N/A","429632","445879","N/A","N/A","N/A","N/A","N/A"
"Jimmy Cooks (feat. 21 Savage)","2022-06-16","N/A","Hip Hop","N/A","N/A","Drake, 21 Savage","N/A","N/A","N/A","N/A","2506","N/A","N/A","N/A","N/A","136494019.56","N/A","N/A","N/A","156318839","1311349067","N/A","N/A","N/A","27012760","234260186","N/A","N/A","N/A","7317","N/A","N/A","N/A","N/A","2081865","29213154","N/A","N/A","N/A","0","3366757"
"El Hob Gany","2025-10-02","N/A","Hip Hop","N/A","N/A","TUL8TE","N/A","N/A","N/A","N/A","2527","N/A","N/A","N/A","N/A","135677012.13","N/A","N/A","N/A","27950156","28303815","N/A","N/A","N/A","109667209","110330116","N/A","N/A","N/A","611","N/A","N/A","N/A","N/A","1971","14830","N/A","N/A","N/A","N/A","N/A"
"500lbs","2023-07-21","N/A","Hip Hop","N/A","N/A","Lil Tecca","N/A","N/A","N/A","N/A","2570","N/A","N/A","N/A","N/A","133900140.535","N/A","N/A","N/A","147021125","700901389","N/A","N/A","N/A","20711940","73037247","N/A","N/A","N/A","2640","N/A","N/A","N/A","N/A","5696694","30308774","N/A","N/A","N/A","N/A","N/A"
"EVIL J0RDAN","2025-03-14","N/A","Hip Hop","N/A","N/A","Playboi Carti","N/A","N/A","N/A","N/A","2593","N/A","N/A","N/A","N/A","133235057.53999999","N/A","N/A","N/A","137987910","251342354","N/A","N/A","N/A","25877682","34795154","N/A","N/A","N/A","11450","N/A","N/A","N/A","N/A","6075293","10064472","N/A","N/A","N/A","79198","1116537"
"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","2007-04-23","N/A","R&B","N/A","N/A","T-Pain, Yung Joc","N/A","N/A","N/A","N/A","2634","N/A","N/A","N/A","N/A","131937515.89000002","N/A","N/A","N/A","116267637","893834226","N/A","N/A","N/A","45490053","439357287","N/A","N/A","N/A","28681","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Solita","2018-01-19","N/A","Latin","N/A","N/A","Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty","N/A","N/A","N/A","N/A","2642","N/A","N/A","N/A","N/A","131835893.75999999","N/A","N/A","N/A","72793281","692713468","N/A","N/A","N/A","81231205","1030426739","N/A","N/A","N/A","8405","N/A","N/A","N/A","N/A","641564","5191076","N/A","N/A","N/A","3778","1944645"
