"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"21","Lil Baby","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","127","119","51291","22872152","86877177","35646022070","333581","31453137","229100027","87","100000","10400000","19560491","14779117543","91860","112334041","292","3429","5669076","41810","0","3905","23185568","289793","0","5171504","1262","1417484","1616","1948101","2509441","14729","383","13060","130","641","8492","161","22","1071","35.77710486696921","898.2848594190048"
"22","J. Cole","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","131","98","42006","28135738","79377823","32006124837","-557001","38674091","236571849","308","10000","8430000","8374812","6470700896","46186","63925554","258","N/A","N/A","N/A","N/A","4874","8868242","8414","-933","5888663","1351","2715489","3093","3127977","687203","13392","1250","8170","63","546","74788","114","15","225","3.864476630864893","77.34696535366697"
"23","Milo j","Argentina","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","164","313","122282","11546329","57784151","7528845753","-53915","17161277","66580339","365","30000","3920000","15106693","1632171072","82460","15899724","264","25023","7178839","395013","0","27372","5459196","87405","17","9357","630","94150","N/A","N/A","N/A","56","15558","326","14","62","N/A","N/A","N/A","N/A","N/A","N/A"
"24","21 Savage","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","180","86","58999","25301438","66770144","39016714343","-119197","39694459","263079761","232","0","10100000","8467152","9309732925","42467","88073918","673","-1254","2566244","3038","0","-16005","20032372","4335","-3697","5327627","1729","1481186","792","1865142","789789","4373","665","8290","75","693","6095","139","30","1455","29.101384781049557","865.2209509791483"
"25","REI AMI","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","183","221","2356","385545","41849847","3854098864","-8478","36184387","236800339","155","0","228000","29898341","2633309963","88079","18412183","675","1235","1397941","225370","0","814","937068","25183","10","11192","122","11829","0","8300","1197","94616","15480","371","14","22","31683","16","0","0","25.913924683143616","31.159119748918858"
"26","Cartel De Santa","Mexico","Hip Hop","Sony Music Entertainment","192","432","45960","20632232","30640730","8892925321","-66302","11977082","18523215","212","0","14000000","16892225","9085783800","55666","52516336","1306","-5123","11630456","18231","0","-605","2518267","733","N/A","N/A","470","2232918","2","6479","1200","497","16497","233","16","41","103492","81","1","6","1.1074640425855946","22.714078442745947"
"27","Tyler, the Creator","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","195","80","73417","26443655","75882622","26650423245","349646","41211668","217923062","817","10000","8170000","3865017","2663588954","37600","51159814","406","N/A","N/A","N/A","N/A","4582","17703451","26877","-1379","3635978","3077","1315996","-1","766","6763","19093","705","6347","81","555","24683","129","19","844","35.44598309067064","181.79710510813237"
"28","2Pac","United States","Hip Hop","Big Indie Labels, Universal Music Group","201","164","49264","23853427","39415734","14283685333","-63639","27740427","99880553","412","10000","9390000","13841009","5964020836","86605","48822231","N/A","N/A","N/A","N/A","N/A","28163","10949258","158380","-5359","17972632","3596","4054057","1244","793006","318282","9285","495","10242","102","1790","131033","24","1","4","0.3292544056475582","7.074822876957366"
"29","DaBaby","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","210","174","18521","13357327","36035692","20383624719","344034","29726050","252841884","313","0","11300000","12850509","9486193248","100229","108337179","174","17780","10363914","472442","0","-1377","19905483","130157","2559","6948332","624","1129553","294","923424","622642","14090","439","14585","96","1440","21096","148","22","860","15.851061504202383","653.4259539140103"
"30","Don Toliver","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","215","163","59575","8609952","154250471","18187890395","620958","48914629","289088459","764","10000","2820000","11265912","2560653116","72170","30566888","274","8663","1716864","35434","0","25847","5511828","137719","81","183153","1397","477244","2196","691542","4059444","62988","1464","8377","81","555","837","24","8","481","25.788024854333077","5940.442954121756"
