"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"You","2006-01-01","N/A","Hip Hop","N/A","N/A","Lloyd, Lil Wayne","N/A","N/A","N/A","N/A","844","N/A","N/A","N/A","N/A","259754454.52499998","N/A","N/A","N/A","219512956","619305514","N/A","N/A","N/A","103288095","225024885","N/A","N/A","N/A","5743","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4517","1916402"
"Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack","2010-06-28","N/A","Hip Hop","N/A","N/A","Flo Rida","N/A","N/A","N/A","N/A","848","N/A","N/A","N/A","N/A","259324073.605","N/A","N/A","N/A","62421617","874512302","N/A","N/A","N/A","43445320","650469897","N/A","N/A","N/A","90681","N/A","N/A","N/A","N/A","762249","1974996","N/A","N/A","N/A","0","6467977"
"Money Trees","2012-01-01","N/A","Hip Hop","N/A","N/A","Kendrick Lamar, Jay Rock","N/A","N/A","N/A","N/A","850","N/A","N/A","N/A","N/A","259201390.85500002","N/A","N/A","N/A","335381371","2186568657","N/A","N/A","N/A","4790529","172343732","N/A","N/A","N/A","6041","N/A","N/A","N/A","N/A","644101","5849300","N/A","N/A","N/A","N/A","N/A"
"SOLEAO","2025-05-29","N/A","Latin","N/A","N/A","Myke Towers, Quevedo","N/A","N/A","N/A","N/A","851","N/A","N/A","N/A","N/A","259084992.69000003","N/A","N/A","N/A","240049316","252486856","N/A","N/A","N/A","48436154","53285621","N/A","N/A","N/A","119229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nothin' on You (feat. Bruno Mars)","2010-04-27","N/A","Pop","N/A","N/A","B.o.B, Bruno Mars","N/A","N/A","N/A","N/A","868","N/A","N/A","N/A","N/A","256927413.88","N/A","N/A","N/A","287100369","1040139715","N/A","N/A","N/A","52963704","712904502","N/A","N/A","N/A","95659","N/A","N/A","N/A","N/A","1733751","21287294","N/A","N/A","N/A","N/A","N/A"
"The Color Violet","2021-12-10","N/A","Hip Hop","N/A","N/A","Tory Lanez","N/A","N/A","N/A","N/A","871","N/A","N/A","N/A","N/A","256379717.62999997","N/A","N/A","N/A","303112240","1448722951","N/A","N/A","N/A","47358361","185543664","N/A","N/A","N/A","4182","N/A","N/A","N/A","N/A","4782098","25025299","N/A","N/A","N/A","0","2860583"
"SICKO MODE","2018-08-02","N/A","Hip Hop","N/A","N/A","Travis Scott","N/A","N/A","N/A","N/A","888","N/A","N/A","N/A","N/A","253348654.925","N/A","N/A","N/A","208318994","2561604006","N/A","N/A","N/A","143140993","2216571205","N/A","N/A","N/A","39857","N/A","N/A","N/A","N/A","3772829","69868497","N/A","N/A","N/A","0","10979351"
"Tusa","2019-11-07","N/A","Latin","N/A","N/A","Karol G, Nicki Minaj","N/A","N/A","N/A","N/A","890","N/A","N/A","N/A","N/A","253180050.07","N/A","N/A","N/A","216446875","1702180941","N/A","N/A","N/A","83714592","2254965634","N/A","N/A","N/A","153498","N/A","N/A","N/A","N/A","341526","13096757","N/A","N/A","N/A","N/A","N/A"
"Work from Home (feat. Ty Dolla $ign)","2016-05-27","N/A","Pop","N/A","N/A","Fifth Harmony, Ty Dolla $ign","N/A","N/A","N/A","N/A","905","N/A","N/A","N/A","N/A","250929632.84500003","N/A","N/A","N/A","166276782","1698348946","N/A","N/A","N/A","141448341","3232468162","N/A","N/A","N/A","103466","N/A","N/A","N/A","N/A","293238","2036564","N/A","N/A","N/A","14820","11256038"
"Him & I (with Halsey)","2017-12-15","N/A","Pop","N/A","N/A","G-Eazy, Halsey","N/A","N/A","N/A","N/A","911","N/A","N/A","N/A","N/A","250262910.46999997","N/A","N/A","N/A","200906336","1293364894","N/A","N/A","N/A","136204765","1350851575","N/A","N/A","N/A","61640","N/A","N/A","N/A","N/A","127958","4745847","N/A","N/A","N/A","39845","14607313"
