"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"11","Ogryzek","Poland","Electronic","Big Indie Labels","2824","2576","2537","635880","5748553","922413097","-6235","6045751","28083371","3234","2000","696000","2598735","363973909","15846","3662385","84645","N/A","N/A","N/A","N/A","101","65078","328","N/A","N/A","84","19003","0","3","0","607","59486","71","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
"12","MXZI","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","2840","846","5196","600568","21854868","1861755435","-126882","15716351","48690464","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","170","9363","16","993","42012","51","N/A","N/A","N/A","N/A","9142","79","0","0","170.45492732090497","171.22810492881345"
"13","h6itam","Spain","Hip Hop","Big Indie Labels","2874","2569","5901","228574","16482753","573275568","457938","9418592","20396945","7431","8000","368000","852586","77225253","13092","1983160","34220","N/A","N/A","N/A","N/A","422","74987","13175","N/A","N/A","119","4796","9","4336","44823","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Sxilwix","United Kingdom","Hip Hop","Big Indie Labels","3029","6170","2550","37428","7799118","136588426","80820","4910600","3286122","8319","5100","92400","1671594","28484847","21566","406754","559623","0","67","11","0","N/A","N/A","N/A","N/A","N/A","103","1110","0","1639","15944","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","bxkq","Kyrgyz Republic","Electronic","Big Indie Labels","3162","7288","2384","54887","9351952","167734543","176583","4219391","15854326","4107","4000","123000","4619612","76648738","44558","970914","328201","0","13700","0","0","3207","31674","6966","N/A","N/A","82","1299","6","468","1849","0","132598","16","3","3","26083","47","0","0","35.44852518916283","49.604145200983375"
"16","ATLXS","N/A","Pop","Big Indie Labels","3252","1160","4670","630724","12117618","1242325223","51293","11844419","47594177","15538","10000","1390000","89271","15613087","1064","283272","112668","N/A","N/A","N/A","N/A","-34","40559","18","N/A","N/A","0","1","3","322","8847","12103","N/A","N/A","N/A","N/A","25569","16","1","10","35.83916889997624","37.59071179413034"
"17","TWXNY","Kazakhstan","Hip Hop","Big Indie Labels","3399","6548","5867","78471","7795213","138221298","53416","4812207","4796802","9857","11000","164000","281646","24535828","2318","950865","196764","N/A","N/A","N/A","N/A","36","18783","98","N/A","N/A","126","1211","2","704","14594","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","KREZUS","Costa Rica","Electronic","Big Indie Labels, Sony Music Entertainment","3545","4618","1090","101888","5054770","305689562","-123092","5335379","19127386","5616","2000","193000","752919","48734932","7301","690057","5347","580","279840","74708","0","15","21808","39","-1","75","34","2164","47","8385","199061","4588","279451","16","2","2","16715","46","0","0","69.63394291520832","87.92949169991194"
"19","Kordhell","United States","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","3642","1667","599","1452783","4210623","2787137298","-68879","4946159","63293795","3747","0","1380000","1997814","875773859","9830","9919187","35804","-399","472208","2362","0","-366","140870","0","-3","2559","107","60990","86","103759","201710","38","46379","42","10","15","45412","17","0","0","13.515276791851207","18.450202333203336"
"20","Mishashi Sensei","United States","Hip Hop","N/A","3732","20743","944","60066","980496","136033938","42682","966700","5407673","1910","18000","406000","6654653","137076704","150000","3395120","20779","89","13087","2337","0","1153","90535","2756","N/A","N/A","21","3480","28","8387","49762","1","104558","24","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
