"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"195","Feeki","United States","Hip Hop","N/A","99776","100021","10","22610","38376","33286027","-346","46041","238382","106252","0","14800","1459","3446544","16","48749","79612","-7","36925","0","0","-8","10024","0","0","111625","1","2355","-1","4484","241","1","352942","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"196","whiterosemoxie","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group","99981","69411","33","27991","59015","45399394","-929","100201","756357","113537","0","10000","196","3225004","2","63834","126059","-1","5808","1","0","23","20743","44","N/A","N/A","2","249","1","7508","4780","4","69101","32","1","3","64971","30","0","0","5.93223339352397","43.05167460625"
"197","Chester Watson","United States","Hip Hop","Big Indie Labels","100010","74735","9","72069","53446","81533228","-549","43254","1970462","91503","0","18300","3649","5139104","58","100734","108429","0","561","3","0","-26","21135","3","-5","13676","1","1278","-6","40756","2068","0","122571","7","2","3","61033","24","0","0","6.995544771685377","31.308905693262652"
"198","Saukrates","Canada","Hip Hop","Universal Music Group, Big Indie Labels","100188","95478","38","14106","74537","43582717","5130","51178","1366806","68622","0","706","9265","26666589","96","174380","161480","N/A","N/A","N/A","N/A","542","7463","3032","0","5303","4","667","0","463","1","1","38620","73","8","12","134759","13","0","0","0.2664531697653622","5.329063395307244"
"199","Specxfic","United States","Hip Hop","Big Indie Labels","100867","72578","101","20059","136289","26706365","145","147575","149557","N/A","N/A","N/A","N/A","N/A","N/A","N/A","191528","N/A","N/A","N/A","N/A","-42","14158","6","N/A","N/A","0","91","-1","10274","5275","1","452300","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"200","Cutthroat Mafia","United States","Hip Hop","N/A","102017","92984","140","15278","69471","18939854","-960","76595","262190","95393","0","12600","N/A","N/A","N/A","N/A","335923","0","181","1","0","6","4642","4","0","35","3","191","13","5353","13969","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"201","Eligh","United States","Hip Hop","Big Indie Labels","102994","115798","19","31359","34212","30568808","353","38503","510408","72463","0","12400","9189","15125085","107","145707","69082","N/A","N/A","N/A","N/A","6","44474","99","-20","50345","3","2444","3","8805","428","0","148259","2","2","2","52805","263","2","36","9.810805358622599","86.96284956436246"
"202","Brezzo","United States","Hip Hop","Universal Music Group, Big Indie Labels","103247","149150","27","9355","39932","7003352","-843","37283","55055","87813","0","7290","0","1230251","0","36352","57374","0","15602","0","0","0","26233","0","N/A","N/A","0","56","3","8483","24996","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"203","Aceyalone","United States","Hip Hop","N/A","103920","88581","46","49373","113891","51025682","1181","52631","1757083","88483","N/A","N/A","N/A","N/A","N/A","N/A","151281","N/A","N/A","N/A","N/A","51","13630","66","0","2336","2","2414","2","4914","61","0","26642","134","7","21","90964","113","0","0","2.05204071032967","37.73973555438789"
"204","Budo","United States","Pop","Sony Music Entertainment","103944","236285","0","1285","1913","3107485","-71","3435","150464","19679","0","832","122014","315734683","337","2999255","176531","N/A","N/A","N/A","N/A","-10","9056","4","-6","12336","0","313","-1","6825","8","0","215791","3","3","3","166087","1","0","0","0.013201023080275476","0.2640204616055095"
