"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"DEEP HOUSE 2026  🔴 Electronic Dance Hits & Remixes for Running, Car, Gym, Workout, Summer, Relax","Indie Curator","THE NIGHT DRIVE","Electronic","Dance, House","100","20490","892913"
"🚗 Car Music 2026 | Bass Boosted Driving, Techno, Slap House","Indie Curator","Ultrasonic Records","Electronic","Dance, House","282","-1564","892827"
"2000s Throwbacks (Top 100 Hits)","Indie Curator","Unplugged","Latin, Electronic","Reggaeton, Latin Pop, Deep House","101","5951","886377"
"Trap Mojito","Editorial","Spotify","Electronic","Dance, Dubstep, Trap/Future Bass","100","-823","882025"
"minecraft music","Indie Curator","Russian Vibes","Electronic","Downtempo, Other Electronic Music","321","19405","878805"
"metropolis","Editorial","Spotify","Electronic, Pop","Indie Pop","100","-1320","874851"
"Trance Mission","Editorial","Spotify","Electronic","Dance, Trance","125","2679","869786"
"Global Groove","Editorial","Spotify","Electronic, R&B, Jazz","N/A","150","3334","866413"
"Lofi Sleep Rain - lofi hip hop beats to study, relax & chill to by lofi fruits","Indie Curator","Fruits Music","Electronic","Downtempo, Lo-Fi","380","-1809","863444"
"Ibiza 2026","Editorial","Spotify","Electronic","House, Tech House","100","9599","856165"
"Study Music 2026 📚🎧✨","Indie Curator","Naeleck","Electronic","Downtempo, Lo-Fi","209","-2127","855452"
"Binaural Beats: Focus","Editorial","Spotify","Electronic","Downtempo, Ambient","108","9406","854602"
"crying on the dance floor","Editorial","Spotify","Electronic, Pop","Dance, House","125","446","852004"
"creamy","Editorial","Spotify","Electronic, Pop","Dance, House","100","961","842851"
"Sleep Fruits - sleep music to fall deep asleep, meditate, yoga, relieve stress","Indie Curator","Fruits Music","Electronic","Downtempo","2424","5504","842681"
"Gym Hardstyle 2026 💪 Top 100","Indie Curator","Otaku","Electronic","Dance, Hardstyle/Hardcore","95","1300","836507"
"Nightstorms","Editorial","Spotify","Electronic, Pop","Latin Pop, Downtempo","147","2177","831564"
"Hit Repeat","Editorial","Spotify","Pop, Electronic","Mainstream Pop, k-pop","60","-1888","828680"
"Gaming Playlist","Indie Curator","Gaming Playlist","Electronic","Dance, Techno, House","150","1748","818867"
"Heartstopper Official Playlist","Editorial","Spotify","Pop, Electronic, Rock","Mainstream Pop, Indie Pop","146","-1261","818761"
"Techno Remix 2026","Indie Curator","bounceandbass","Electronic","Dance, Techno","138","787","818752"
"Techno Music 2026 💊","Indie Curator","Soave","Electronic","Dance, Techno","151","16455","818558"
"Dreamy Vibes","Editorial","Spotify","Electronic","Downtempo","200","469","812588"
"Summer Hits UK 2025","Editorial","Spotify","Electronic, Pop","Dance, House","106","-976","804308"
"This Is Kygo","This Is ...","Spotify","Electronic, Pop","Mainstream Pop, Dance, Indie Pop","50","771","801772"
"This Is Backstreet Boys","This Is ...","Spotify","Pop, Electronic, Country","Mainstream Pop","50","1813","796296"
