"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Psychedelic Rock","Editorial","Spotify","Rock","Psychedelic Rock","75","2959","1248520"
"Sanremo 2026","Editorial","Spotify","Pop, Rock, Electronic","Mainstream Pop, Alternative Rock, Hard Rock","58","77713","1246722"
"Los 90 México","Editorial","Spotify","Pop, Rock","Alternative Rock, Latin Pop, Pop Rock","100","6001","1234882"
"This Is Gorillaz","This Is ...","Spotify","Rock, Hip Hop","Contemporary Hip Hop, Alternative Hip Hop, Alternative Rock","46","5698","1232332"
"Rock Power Ballads","Editorial","Spotify","Rock","Pop Rock","100","2161","1230135"
"Fresh Finds","Editorial","Spotify","Hip Hop, Rock","Contemporary Hip Hop, Alternative Rock","100","53","1221759"
"Deep Dark Indie","Editorial","Spotify","Pop, Rock, European","Alternative Rock, Indie Pop","140","-1311","1216921"
"This Is Led Zeppelin","This Is ...","Spotify","Rock","Hard Rock","50","2392","1206142"
"The New Alt","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock, Indie Rock","125","-60","1203711"
"This Is Maná","This Is ...","Spotify","Rock, Latin, Pop","Alternative Rock, Pop Rock, Regional Mexican Music","50","4043","1197545"
"Rock Forever","Editorial","Spotify","Rock, Punk","Hard Rock, Pop Rock","100","1901","1189917"
"Lorem","Editorial","Spotify","Pop, Rock","Indie Pop","150","177","1186994"
"Indie Rock Road Trip","Editorial","Spotify","Rock","Indie Pop, Indie Rock","100","2724","1178649"
"The Indie List","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","80","457780","1169089"
"Brasil Anos 2000","Editorial","Spotify","Rock, Latin, Pop","Alternative Rock, Pop Rock, Nova MPB","50","4758","1153752"
"Soak Up The Sun","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","75","-995","1146314"
"Soft 70s","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop","150","132241","1143984"
"Bedroom Pop","Editorial","Spotify","Pop, Rock","Indie Pop","100","1101","1143847"
"You & Me","Editorial","Spotify","Pop, Rock","Alternative Rock, Indie Pop, Indie Rock","100","285","1142576"
"Evening Acoustic","Editorial","Spotify","Rock, Pop","Indie Pop, Folk Rock, Folk Pop","100","-3653","1136684"
"Iconos del Rock Argentino","Editorial","Spotify","Rock","Folk Rock, Pop Rock","70","-1009","1126087"
"10s Rock Anthems","Editorial","Spotify","Rock","Alternative Rock, Garage Rock","100","-1167","1118053"
"This Is David Bowie","This Is ...","Spotify","Rock","Hard Rock, Pop Rock","50","-24","1109405"
"Christmas is Coming","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","60","-2577","1108451"
"Easy 00s","Editorial","Spotify","Pop, Rock","Mainstream Pop, Contemporary R&B","80","262","1102848"
"This Is Foo Fighters","This Is ...","Spotify","Rock","Alternative Rock, Hard Rock","50","2136","1101438"
"Running to Rock 170-190 BPM","Editorial","Spotify","Rock","Alternative Rock, Nu Metal","75","2969","1099347"
"zuhause","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","90","-2386","1098407"
"Rain Sounds","Editorial","Spotify","Electronic, Rock","Downtempo","167","14821","1088322"
"Feel Good Friday","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","100","656","1071849"
"OPM Rock Hits","Editorial","Spotify","Rock","Pop Rock, OPM","50","4387","1070182"
"Videos Unplugged","Editorial","Spotify","Rock, Latin, Pop","Alternative Rock, Pop Rock, Regional Mexican Music","50","-1518","1069033"
"Blues Roots","Editorial","Spotify","Blues, Rock, Country","Contemporary Blues, Blues Rock, Americana/Alt Country","100","589690","1067226"
"Guardians of the Galaxy Vol. 1, 2, 3","Indie Curator","past'elle records","Pop, Rock","Indie Pop","69","12179","1063961"
"Indiespensables","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","75","-3384","1061844"
"Indie Forever ","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","300","3539","1061103"
"Classic rock 70s, 80s, 90s (Clásicos del Rock en Inglés) Só rock, as melhores de todos os tempos!","Indie Curator","Rock Louder","Rock","Alternative Rock, Pop Rock","385","-978","1059138"
"Beach Vibes","Editorial","Spotify","Reggae, Rock","Reggae Fusion","150","-1187","1057195"
"Easy 90s","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","80","1143","1054973"
"Best of Korean OSTs (OST 명곡 베스트)","Editorial","Spotify","Pop, Rock","Hard Rock, k-pop","100","6379","1043347"
"The Rock List","Editorial","Spotify","Rock, Pop","Alternative Rock, Indie Rock","85","-2136","1042755"
