"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"West Coast Classics","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","3230","1014177"
"perrear y llorar 🥲","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","-720","1007886"
"SIGMA MALE TIKTOK MUSIC - BEST SIGMA SONGS","Indie Curator","CRD","Electronic, Hip Hop","Alternative Hip Hop, Phonk","110","-2058","1004583"
"lofi hip hop beats - music to study/relax to | Focus Music | Chillhop Music 2026","Indie Curator","Chillhop Music","Electronic, Hip Hop","Downtempo, Lo-Fi","200","-951","996201"
"The Weeknd - Essential Playlist","Indie Curator","theweeknd","Pop, Hip Hop","Mainstream Pop, Contemporary R&B","255","-1465","991736"
"Film & TV Favorites: 90s Black Cinema","Editorial","Spotify","R&B, Hip Hop","Contemporary R&B, Soul","60","-3743","989377"
"This Is Rels B","This Is ...","Spotify","Hip Hop","Alternative Hip Hop","49","0","981604"
"This Is Mac Miller","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop","50","3082","981147"
"gymcore","Editorial","Spotify","Hip Hop, Electronic, Latin","Phonk","40","5316","976107"
"Alternative Hip-Hop","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","85","2025","970857"
"SUGA's Favorite Tracks","Indie Curator","BTS","Hip Hop, Pop","Trap, Alternative Hip Hop, k-pop","21","221","964698"
"Run This Town","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop","0","0","957454"
"Canta en el auto","Editorial","Spotify","Pop, Rock, Hip Hop","Mainstream Pop, Indie Pop","100","4614","951370"
"BBE","Editorial","Spotify","Hip Hop, Pop","Mainstream Pop, Contemporary Hip Hop","75","679","942861"
"This Is Lil Peep","This Is ...","Spotify","Hip Hop","Trap, Emo Rap","50","874","942628"
"Hot Hits NL","Editorial","Spotify","Pop, Hip Hop, Electronic","Mainstream Pop","50","-650","940014"
"This Is J. Cole","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop","48","4758","938783"
"Éxitos Colombia","Editorial","Spotify","Latin, Hip Hop","Reggaeton","50","3719","932376"
"Top 50 - Turkey","Charts","Spotify","Pop, Hip Hop","Mainstream Pop, Contemporary Hip Hop, Arabic Pop","50","5344","931252"
"Street Culto","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","55","-805","923834"
"2000er Hits","Editorial","Spotify","Pop, Rock, Hip Hop","Mainstream Pop","100","6433","920969"
"mid:nite storm ","Editorial","Spotify","R&B, Hip Hop","Contemporary Hip Hop, Contemporary R&B","75","7761","920763"
"Shisha Club","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","100","-209","914854"
"Just Try to Forget These Songs","Editorial","Spotify","Pop, Electronic, Hip Hop","Mainstream Pop, Dance","50","560","908102"
"Tokyo Super Hits! ","Editorial","Spotify","Pop, Hip Hop","Asian Pop","50","0","905815"
"Hot Hits Canada","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","50","903","903178"
"Eminem: Best Of The Best","Indie Curator","Best Of The Best","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","51","14856","896920"
"This Is Nicki Minaj","This Is ...","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop, Alternative Hip Hop","50","-571","889020"
"K-Pop Rising","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop, k-pop","50","1231","886187"
"Anime Openings (Top 100)","Indie Curator","Tomo Hiro","Pop, Hip Hop","Pop Rock, j-pop, Anime","115","3189","884702"
"Fresh Rap","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop","49","716","878822"
"Drake Radio","Radio","Spotify","Hip Hop, R&B","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","50","19351","878375"
"Top 50 - France","Charts","Spotify","Hip Hop, Pop","Mainstream Pop, Contemporary Hip Hop, Alternative Hip Hop","50","1769","867222"
"Buckwild Country","Editorial","Spotify","Country, Hip Hop","Contemporary Country","100","-2378","865038"
"Viral Hits Philippines","Editorial","Spotify","Pop, Hip Hop, R&B","Mainstream Pop","100","10529","863349"
"Fiesta","Editorial","Spotify","Latin, Hip Hop","Reggaeton, Latin Pop","100","-2924","861769"
"j-hope's Favorite Tracks","Indie Curator","BTS","Pop, R&B, Hip Hop","Contemporary Hip Hop, Contemporary R&B, k-pop","21","105","858689"
