Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,The 1975,GBR,782,69,Rock,10,Indie Rock,1
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Rufus Du Sol,AUS,1109,40,Electronic,43,Dance,9
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Grupo Niche,COL,1129,210,Latin,4,Salsa,0
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Disclosure,GBR,1136,41,Electronic,45,Dance,13
Festival Estereo Picnic,2019,April,4,Apr 05-07 2019,Cuco,USA,2125,742,Pop,123,Indie Pop,3
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Lana Del Rey,USA,33,22,Pop,20,Mainstream Pop,1
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Gorillaz,GBR,110,8,Rock,4,Alternative Rock,1
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,DJ Snake,FRA,139,6,Electronic,6,Dance,27
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Tyler the Creator,USA,203,29,Hip Hop,27,Contemporary Hip Hop,13
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,The Neighbourhood,USA,215,17,Rock,2,Indie Rock,0
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Kali Uchis,COL,287,8,R&B,22,Contemporary R&B,1
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,The Killers,USA,559,46,Rock,28,Alternative Rock,7
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Zoe,MEX,716,63,Rock,44,Pop Rock,4
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Mac Demarco,USA,972,91,Rock,15,Indie Rock,0
Festival Estereo Picnic,2018,March,3,Mar 23-25 2018,Hardwell,NLD,1387,46,Electronic,48,Dance,18
