"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"195","Sammy Virji","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group","3840","2879","270808","567105600","5665397","71425391","26772","47700","19496906","283840","4783","197596","515559","19428","7338","158138","4648","116","86","66","17150","32600.86225022646"
"196","Clementine Douglas","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group, Universal Music Group","3868","1105","73399","1276627088","11938833","166130501","174192","N/A","N/A","N/A","23374","8","103550","N/A","3984","3587","6200","68","111","53","5114","59108.534465471326"
"197","Paul van Dyk","Germany","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3872","7948","513745","626816209","1779366","18176540","5362","1700000","811114501","4375229","4972","111580","643890","3483721","451676","174057","2157","1554","771","108","3651","8908.4018690497"
"198","Giorgio Prezioso","Italy","Electronic","Universal Music Group, Sony Music Entertainment, Big Indie Labels, Warner Music Group","3879","2541","169291","1266898551","5081620","61428651","4665","484000","371646887","4496158","2217","1059701","908018","719165","27302","14832","30085","90982","43","1","11","14.7685137548292"
"199","Dash Berlin","Netherlands","Electronic","Big Indie Labels, Universal Music Group","3894","3332","599754","1083452378","5583335","34732190","12051","875000","167029514","1546722","10714","11224","462018","3155228","443108","429758","4305","4443","835","98","6687","7276.07709185364"
"200","Yellow Claw","Netherlands","Electronic","Big Indie Labels","3895","3562","1059228","2259647625","3454585","29558578","3988","2130000","1470251042","12821802","4921","91655","1292465","740029","370012","645301","2705","1249","529","151","11825","7683.612861964719"
"201","Burak Yeter","Netherlands","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","3896","4228","181788","963472006","4119129","19419738","2390","1240000","1186635067","7088001","5356","68252","6939678","312532","50369","103155","1677","14039","190","11","285","1315.2294070992996"
"202","Bemax","Israel","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment","3900","22553","100990","138334959","697112","4594905","934","6420000","4142683365","72690717","17363","363276","55426","74","3057","5201","151384","14265","45","0","0","101.05988315060199"
"203","Sam Feldt","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels, BMG","3902","1490","820430","4997228307","7153644","108934181","15441","228000","781794060","10117679","16970","54638","444498","591352","137846","272987","471","2131","286","112","7233","17173.163095048447"
"204","Snow Strippers","United States","Electronic","Warner Music Group, Sony Music Entertainment","3908","3136","470196","587785199","5752150","7521669","18116","98500","15485065","309509","5736","123960","404347","N/A","9498","63493","65276","N/A","N/A","N/A","N/A","N/A"
"205","Nakama","Germany","Electronic","Big Indie Labels","3913","1473","399733","910848308","10962954","33555379","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","367","N/A","23548","34","0","0","44.58888972338179"
"206","Showtek","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3956","2780","493348","2043555023","4673249","41814923","4149","367000","1895048959","11245836","7344","50480","921516","3322429","1324791","524435","2051","1498","592","133","12841","11340.133647220693"
"207","AVAION","Germany","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","4036","2249","302585","1022863887","5756202","90401838","6595","211000","205863377","1914003","13321","277115","27","20754","16640","13412","3926","1201","60","6","347","3654.3935255239826"
"208","ATB","Germany","Electronic","Big Indie Labels, Universal Music Group","4048","2172","477953","1669968951","5698271","77043432","5483","485000","908940006","5201904","18785","36704","182834","1412332","316331","42145","958","2475","659","26","1444","6759.455450882864"
"209","Matt Steffanina","United States","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group","4058","93711","14663","11356963","37016","1877136","4656","3960000","895263949","14922283","662","8604817","3712171","4788182","1929","15713","44117","13242","12","3","59","237.62177181400253"
