"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"399","Ascence","Germany","Electronic","Big Indie Labels","49336","18359","11148","210415902","918711","7813631","186459","3200","67087","1710","472897","N/A","1320","855","425","820","42712","77192","13","0","0","22.217874505918466"
"400","Sandy Rivera","United States","Electronic","Big Indie Labels","49540","41118","38039","69942684","291131","3687458","118201","2750","5487709","22178","53199","N/A","58709","69369","2060","26494","23143","1018","505","34","1763","16317.607953868508"
"401","Edwardo Atlas","Sweden","Electronic","Big Indie Labels, Warner Music Group","49564","21557","1734","101308002","654225","8805556","N/A","N/A","N/A","N/A","785882","N/A","112","N/A","9","N/A","47906","49382","8","0","0","14.612360496979854"
"402","HANA","United States","Pop","Big Indie Labels, Universal Music Group","49577","39737","128004","121467174","134072","7765762","49150","95600","16102544","380365","45156","10585","125567","87291","247","11010","66378","3347","52","22","900","3931.766690469683"
"403","DJ Clock","South Africa","Electronic","Big Indie Labels, Universal Music Group","49628","44145","100810","20361017","369077","499318","52491","N/A","N/A","N/A","88212","N/A","54648","N/A","3439","824","49627","19827","134","4","32","165.7994493072864"
"404","Strobe","Germany","Electronic","Big Indie Labels, Universal Music Group","49768","45064","22162","40666189","510756","1523388","234714","40","713076","6459","54951","15","140347","17407","418","2902","74278","18672","303","6","69","432.92139250875135"
"405","Carl Clarks","Netherlands","Electronic","Big Indie Labels","49854","22240","15726","125453940","538437","6316092","290862","836","51455","875","148242","6722","14042","7034","72","19","20524","16656","71","0","0","111.48590834836621"
"406","Mindblow","Romania","Electronic","Big Indie Labels","49954","23972","14873","50902705","830853","3989080","N/A","N/A","N/A","N/A","117554","N/A","36903","5595","203","N/A","65454","22784","57","0","0","56.355899770149655"
"407","ODNP","Germany","Electronic","Big Indie Labels","49992","63286","23460","12094446","253279","845895","52513","11300","2568792","60012","10318","35776","208012","N/A","432","8164","240920","53418","8","0","0","11.7381010584674"
"408","DJ Tarkan","Turkey","Electronic","Big Indie Labels","49994","91395","24546","59159995","84436","617626","54445","44200","35037834","189027","24833","233","501385","366366","24348","77106","41181","16956","353","9","100","446.43931010033253"
"409","Lars Behrenroth","United States","Electronic","Big Indie Labels","50103","216856","9973","4487893","11333","89639","44268","52000","8193222","128425","36643","N/A","34004","210018","3861","48341","162115","32057","120","1","4","86.04628753955505"
"410","Lane Boy","N/A","Electronic","Big Indie Labels, Warner Music Group","50251","21292","2580","73476082","695756","10656001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101","N/A","71427","32386","17","0","0","28.940692304944342"
"411","Hraach","Spain","Electronic","Big Indie Labels","50300","33281","71431","126600500","267646","4298772","46897","15700","42752253","319695","159168","N/A","22199","N/A","4062","57768","42325","4578","144","63","3830","11751.80851369038"
"412","Lipless","United States","Electronic","Big Indie Labels, Sony Music Entertainment","50304","21033","26679","155856286","534920","11894574","139913","N/A","N/A","N/A","118231","2069","13566","9426","697","5894","36120","4946","70","11","154","677.8077238320294"
"413","Costa Mee","United States","Electronic","Other Indie / Unsigned","50313","45573","32305","108402204","289111","876266","45956","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4243","5317","9156","10834","204","0","0","440.86737749627173"
"414","Mollono.Bass","Germany","Electronic","Big Indie Labels","50324","30392","57160","120184846","411052","4609449","68345","39000","2442911","19596","134671","N/A","12451","30206","2525","37891","32994","3176","603","64","1392","4538.019831632107"
"415","Jullian Gomes","South Africa","Electronic","Big Indie Labels","50478","49326","47206","21581217","167741","4582584","67563","13800","4570158","57551","33816","N/A","86339","272828","10122","18087","58061","20195","150","6","194","1431.5285209818717"
"416","Dark Heart","United States","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","50510","22867","14853","158543488","343087","12025299","94561","5720","5006942","96157","95955","1814","18143","19981","967","8116","39733","1872","88","23","495","4787.909817951032"
"417","KYRIL","Switzerland","Electronic","Big Indie Labels","50596","29103","6014","25893895","1041221","4141219","203518","194","21056","509","165480","N/A","6465","331","77","2411","108148","69277","8","0","0","8.688681658710273"
"418","MartyParty","United States","Electronic","N/A","50605","80805","34221","5795180","17493","190695","71830","12400","2768252","23101","78347","251","70698","66246","974","36948","394515","37850","220","1","30","82.47067673457738"
"419","Jessica Chertock","United States","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group","50672","20631","7308","162189799","601608","11835578","278431","799","105614","1525","191161","258","10565","1230","242","220","25439","18385","57","3","94","137.36684326186625"
"420","AMHouse","North Macedonia","Electronic","Big Indie Labels, Universal Music Group, BMG","50749","22956","3003","71079179","632239","7308358","87088","22900","7988643","60072","405218","N/A","2322","538","90","505","107053","36721","62","0","0","72.03597063447833"
"421","Revaz Pipia","Georgia","Electronic","Other Indie / Unsigned","50762","475844","234","113576","1116","1950","35669","24300","27521620","77883","30191","46691","2703","53669","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"422","Akmalov","United States","Electronic","Warner Music Group, Big Indie Labels","50816","149620","2049","2775079","79813","50724","10766","349000","115413480","789559","241717","N/A","9749","N/A","44","31","N/A","5011","200","0","0","454.30529193693343"
"423","ManyFew","Sweden","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment","50836","32127","7233","82960695","206106","11918676","70606","7360","3352544","33833","123689","3201","17543","10898","373","6008","11958","3575","177","21","346","2172.0579207988835"
"424","nowifi","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group","51111","17946","15266","160738335","643645","8107517","117955","11300","2216910","71201","75093","33709","33303","911","436","10344","46775","22025","34","0","0","78.59878505997068"
"425","Dale Howard","United Kingdom","Electronic","Big Indie Labels","51433","53643","29657","49387010","142357","3581675","89887","106","2976781","32858","78250","N/A","26795","63775","3990","57939","30997","481","405","124","3391","52758.32210015439"
"426","Piece Wise","Netherlands","Electronic","Big Indie Labels","51544","18432","18789","207672192","686289","14649263","127159","2760","1371494","12679","260042","59","5706","1248","152","2442","41182","41835","31","0","0","28.92746255038458"
"427","Qrion","United States","Electronic","Big Indie Labels","51699","28914","46725","62243888","373643","12412582","108023","7890","1080898","21878","77612","N/A","47603","16217","982","37391","42639","2662","120","26","571","3568.903088715704"
"428","DannyHO","United States","Pop","Other Indie / Unsigned","51786","313514","354","198048","5213","4398","53272","18500","1597278","141977","658957","N/A","N/A","1276","2","163","N/A","1363","1045","0","0","3108.6491874876683"
"429","Diielex","Colombia","Electronic","Sony Music Entertainment, Big Indie Labels","51899","51846","12072","7494708","350871","2760269","82711","3010","568525","15953","52873","34823","N/A","N/A","149","14","225913","39203","17","0","0","23.107580414510455"
"430","LIMITED LIFE","Germany","Electronic","Big Indie Labels","51990","29566","831","34788086","841854","1220814","N/A","N/A","N/A","N/A","517392","N/A","1198","266","101","1766","423032","1775","18","1","511","3035.271442691457"
"431","Rey&Kjavik","Germany","Electronic","N/A","52047","28837","42260","97938554","415909","2882291","92768","6120","1866717","15934","104929","N/A","17889","57238","1109","37264","92011","14947","263","33","958","1345.7620754479776"
"432","Simon Vuarambon","Switzerland","Electronic","Big Indie Labels","52069","89914","19947","17681210","82468","715914","51362","10100","1086374","20411","86420","N/A","57907","20680","680","31492","50312","4087","55","34","1842","4709.980298611982"
"433","Mr. V","United States","Electronic","Big Indie Labels","52087","51031","12882","62607273","352281","5496672","541943","N/A","N/A","N/A","81841","1118","36209","57629","2502","851","26839","669","1036","74","2475","32461.711946641077"
"434","Niconé","Germany","Electronic","Big Indie Labels","52140","34663","48675","100427977","379847","4389571","129272","2510","1883625","10981","111310","N/A","15668","51933","9896","28024","32465","2972","692","126","2351","9251.10579217408"
"435","Mark Farina","United States","Electronic","Big Indie Labels, Warner Music Group","52145","54422","67263","42927656","268022","1728916","98940","N/A","N/A","N/A","49406","N/A","71371","113283","5994","89685","26779","11717","257","23","387","1096.4707242612612"
"436","Jozef Pervorfi","Germany","Electronic","Universal Music Group","52349","115232","3449","11260794","105588","183825","42242","15000","10271297","39501","32496","73522","17629","N/A","30","N/A","137149","N/A","N/A","N/A","N/A","N/A"
"437","Kayote","Netherlands","Electronic","N/A","52431","17601","20491","141554060","648956","15983011","160755","1310","114856","1223","345781","198","3514","94","149","2463","37929","20514","53","0","0","75.78037245021741"
