"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"343","Vinterland","Sweden","Metal","N/A","179097","189640","13695","1217845","9917","125747","N/A","N/A","N/A","N/A","248229","N/A","4042","3874","475","60","425042","N/A","N/A","N/A","N/A","N/A"
"344","Helheim","Norway","Metal","Other Indie / Unsigned","179324","218673","20903","2610714","3404","76531","328677","N/A","N/A","N/A","181906","N/A","4616","20112","2434","11","77483","N/A","N/A","N/A","N/A","N/A"
"345","Karg","Austria","Metal","Big Indie Labels","179731","185399","21302","4765399","7940","149076","N/A","N/A","N/A","N/A","169288","N/A","5752","11316","1153","N/A","243154","N/A","N/A","N/A","N/A","N/A"
"346","Warmoon Lord","Finland","Metal","N/A","179757","174347","23829","4603965","9249","56628","N/A","N/A","N/A","N/A","304549","N/A","N/A","6536","415","N/A","118287","N/A","N/A","N/A","N/A","N/A"
"347","Devil Master","United States","Metal","Big Indie Labels","179858","206219","21739","4281588","4851","37772","N/A","N/A","N/A","N/A","135274","N/A","20522","9924","772","69","99528","N/A","N/A","N/A","N/A","N/A"
"348","Svartkonst","Sweden","Metal","Other Indie / Unsigned","180180","181464","12905","2867354","17306","56631","208807","1350","79243","3159","288008","N/A","3665","3324","249","161","154655","N/A","N/A","N/A","N/A","N/A"
"349","Miasthenia","Brazil","Metal","N/A","180371","298894","8205","497732","1420","11619","114175","5960","485380","21106","153149","N/A","13848","14139","1178","N/A","126100","N/A","N/A","N/A","N/A","N/A"
"350","Diocletian","New Zealand","Metal","N/A","180485","195369","24128","2800763","6614","92206","228202","866","73684","2210","138886","N/A","13480","25361","1077","9","361331","N/A","N/A","N/A","N/A","N/A"
"351","Horn","Germany","Metal","Other Indie / Unsigned","180618","186876","15403","3298126","22777","126346","N/A","N/A","N/A","N/A","209445","N/A","5500","10490","N/A","N/A","121672","N/A","N/A","N/A","N/A","N/A"
"352","The Spirit","Germany","Metal","N/A","180727","200528","16732","2988899","8589","120382","N/A","N/A","N/A","N/A","203780","N/A","7144","9470","853","N/A","114137","N/A","N/A","N/A","N/A","N/A"
"353","BØLZER","Switzerland","Metal","Big Indie Labels","180753","205972","21250","3290576","3716","51881","N/A","N/A","N/A","N/A","120544","N/A","13419","46338","1639","2197","308579","N/A","N/A","N/A","N/A","N/A"
"354","Vltimas","Portugal","Metal","Big Indie Labels","181426","208376","22035","3332469","3744","17347","N/A","N/A","N/A","N/A","126179","N/A","13630","35609","1526","N/A","147341","N/A","N/A","N/A","N/A","N/A"
"355","Bosse-de-Nage","United States","Metal","Other Indie / Unsigned","181434","196224","16498","2139898","17535","146854","N/A","N/A","N/A","N/A","266222","N/A","3762","7190","1095","35","279306","N/A","N/A","N/A","N/A","N/A"
"356","Tormentor","Hungary","Metal","Big Indie Labels","181458","176707","34291","2092843","8835","73668","N/A","N/A","N/A","N/A","187361","N/A","122","29956","N/A","N/A","175955","N/A","N/A","N/A","N/A","N/A"
"357","Kriegsmaschine","Poland","Metal","N/A","181472","167135","31685","4163153","10345","102586","N/A","N/A","N/A","N/A","262535","N/A","N/A","15705","1624","N/A","330302","N/A","N/A","N/A","N/A","N/A"
"358","Путь","Russian Federation","Metal","N/A","181717","172584","27742","3388700","9308","81033","N/A","N/A","N/A","N/A","265965","N/A","4827","3137","1032","N/A","125987","N/A","N/A","N/A","N/A","N/A"
"359","AlNamrood","Saudi Arabia","Metal","N/A","183676","182638","27674","3038704","7865","90964","N/A","N/A","N/A","N/A","307690","N/A","N/A","11200","1504","N/A","158765","N/A","N/A","N/A","N/A","N/A"
"360","Noctem","Spain","Metal","Big Indie Labels","183795","263423","10355","1376444","1483","103860","148460","5320","401067","9625","139484","N/A","5934","30506","2135","372","154414","N/A","N/A","N/A","N/A","N/A"
"361","Impiety","Singapore","Metal","N/A","183825","235611","20589","850423","3056","16474","161984","1560","169644","49","139409","N/A","N/A","50855","2233","N/A","329935","N/A","N/A","N/A","N/A","N/A"
"362","Cân Bardd","Switzerland","Metal","Other Indie / Unsigned","183868","202383","16809","2417855","6541","72491","N/A","N/A","N/A","N/A","203839","N/A","5439","7624","1580","N/A","225750","N/A","N/A","N/A","N/A","N/A"
"363","Waldgeflüster","Germany","Metal","N/A","184020","211308","18826","2815438","6531","58665","450390","85","6582","111","204431","N/A","5760","10929","1139","65","199999","N/A","N/A","N/A","N/A","N/A"
"364","Blod Besvimelse","N/A","Electronic","N/A","184026","140783","22524","2229894","26665","329278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A"
"365","Sadistik Exekution","Australia","Metal","Other Indie / Unsigned","184171","189898","29928","2100762","6053","28681","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25347","1180","N/A","384824","N/A","N/A","N/A","N/A","N/A"
"366","Wormwood","Sweden","Metal","Big Indie Labels","184239","208629","15600","4574413","6025","78497","185429","1730","93790","2352","203093","213","4797","12831","1170","10","241923","N/A","N/A","N/A","N/A","N/A"
"367","Whoredom Rife","Norway","Metal","N/A","184346","213412","19327","2481182","4766","114856","N/A","N/A","N/A","N/A","144731","N/A","14605","11867","697","N/A","194100","N/A","N/A","N/A","N/A","N/A"
"368","Ultha","Germany","Metal","Universal Music Group, Big Indie Labels","185302","203622","21367","3096823","15588","153585","284166","585","52221","1224","175779","N/A","9251","12096","1141","109","205562","N/A","N/A","N/A","N/A","N/A"
"369","Mora Prokaza","Belarus","Metal","Other Indie / Unsigned","185403","272573","7156","1340003","3095","11234","109020","4650","801036","23151","158848","N/A","5458","2376","415","641","448629","N/A","N/A","N/A","N/A","N/A"
"370","Danicide","Paraguay","Metal","N/A","185415","368247","1599","186118","3700","9704","123007","2850","374713","10810","54037","16393","1491","626","33","8","128739","N/A","N/A","N/A","N/A","N/A"
"371","Mare Cognitum","United States","Metal","Other Indie / Unsigned","185589","189530","24486","2676926","6978","132765","N/A","N/A","N/A","N/A","195659","N/A","7223","11504","1482","N/A","192524","151966","1","0","0","1.9632654661189826"
"372","Nachtmystium","United States","Metal","Other Indie / Unsigned","185830","192252","27202","4446124","6665","123565","N/A","N/A","N/A","N/A","419450","N/A","N/A","204","2582","53","88330","N/A","N/A","N/A","N/A","N/A"
