"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"391","Konvent","Denmark","Metal","Big Indie Labels","139155","151819","28148","3812586","10622","621588","139468","4900","41824","1229","132920","N/A","16455","22096","1581","N/A","91816","N/A","N/A","N/A","N/A","N/A"
"392","Undeath","United States","Metal","Big Indie Labels","139439","131090","39729","7608295","13404","875587","336736","460","20824","1120","77772","2961","40743","15989","1282","N/A","118718","N/A","N/A","N/A","N/A","N/A"
"393","Fractal Gates","France","Metal","N/A","139704","140305","24555","7774121","35319","138624","128773","3980","762562","13989","246680","N/A","1882","12881","3310","85","163948","N/A","N/A","N/A","N/A","N/A"
"394","Hooded Menace","Finland","Metal","Big Indie Labels","139717","167950","32028","3550684","8406","142841","218978","N/A","N/A","N/A","156643","N/A","8871","5198","2813","47","96873","N/A","N/A","N/A","N/A","N/A"
"395","Karl Sanders","United States","Metal","Big Indie Labels","139845","275021","9504","1758706","2270","56743","93141","10500","547655","12706","78464","N/A","31433","114217","1156","N/A","197517","N/A","N/A","N/A","N/A","N/A"
"396","PUPIL SLICER","United Kingdom","Metal","N/A","140191","177426","20908","3220988","16842","149806","123555","1730","4067","129","154264","594","10505","6797","866","N/A","93429","N/A","N/A","N/A","N/A","N/A"
"397","Abnormality","United States","Metal","Big Indie Labels","141094","192739","19686","2238375","4721","358080","105067","15300","4019482","44264","92813","N/A","7882","109132","3258","N/A","117966","N/A","N/A","N/A","N/A","N/A"
"398","Sulphur Aeon","Germany","Metal","Other Indie / Unsigned","141338","164715","33693","6904859","8331","122760","375353","323","25446","489","196935","N/A","N/A","28122","3356","N/A","82126","N/A","N/A","N/A","N/A","N/A"
"399","Alkaloid","Germany","Metal","Big Indie Labels","141342","165911","32516","6258025","7742","106062","154343","4460","391172","9951","222935","N/A","N/A","19719","2325","1814","123575","N/A","N/A","N/A","N/A","N/A"
"400","Dark Oath","Portugal","Metal","N/A","141612","144514","20800","7070419","25172","126752","118959","4150","1427019","27535","122923","N/A","4005","10754","1629","N/A","253637","N/A","N/A","N/A","N/A","N/A"
"401","DESTINITY","France","Metal","Other Indie / Unsigned","141635","139354","15824","6209591","20993","786731","147232","3750","674192","13352","183018","N/A","7831","13130","3593","N/A","65585","N/A","N/A","N/A","N/A","N/A"
"402","Eximperitus","Belarus","Metal","N/A","142108","225356","8322","423427","2906","27066","142867","1910","203869","4264","135739","N/A","3341","38022","326","N/A","226153","N/A","N/A","N/A","N/A","N/A"
"403","Ten Thousand Teeth","United States","Metal","Other Indie / Unsigned","142205","507471","878","75702","185","1267","62610","1160","1664095","25985","92653","N/A","2140","4717","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"404","Catamenia","Finland","Metal","N/A","142528","159876","28696","8776798","13058","103103","210031","1130","244089","2540","176397","N/A","2175","27275","4886","N/A","61467","N/A","N/A","N/A","N/A","N/A"
"405","Debauchery","Germany","Metal","Big Indie Labels","142675","135898","35525","15852092","26192","97714","200117","N/A","N/A","N/A","153215","N/A","N/A","N/A","5031","161","41461","N/A","N/A","N/A","N/A","N/A"
"406","Necrophagia","United States","Metal","N/A","142846","172363","30783","2787343","7882","209395","328677","N/A","N/A","N/A","145793","N/A","4107","42402","1835","74","99457","N/A","N/A","N/A","N/A","N/A"
"407","Daniel Erlandsson","Sweden","Metal","N/A","142850","754891","N/A","N/A","N/A","N/A","93853","15000","1303448","41172","53270","N/A","N/A","83228","1635","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"408","Lutharo","Canada","Metal","Big Indie Labels","143190","199397","14171","2867935","10132","63772","110702","9580","1347184","31858","171494","N/A","8821","12696","563","36","58641","N/A","N/A","N/A","N/A","N/A"
"409","Vulcano","Brazil","Metal","Big Indie Labels","143423","230319","14511","1088554","3558","73537","N/A","N/A","N/A","N/A","127929","N/A","N/A","59411","3888","N/A","25871","N/A","N/A","N/A","N/A","N/A"
"410","Acid Witch","United States","Metal","Big Indie Labels","144148","143032","43424","9693803","14936","151009","349798","248","11605","421","148090","N/A","12023","20390","2358","N/A","115557","N/A","N/A","N/A","N/A","N/A"
"411","Neverland in Ashes","Germany","Metal","N/A","144161","153342","15736","7345400","23509","126880","119390","6530","1390384","20927","171050","3790","9458","7602","613","34","109883","N/A","N/A","N/A","N/A","N/A"
"412","Vitriol","Germany","Metal","Sony Music Entertainment, Big Indie Labels","144402","172379","31030","4217877","8114","110849","106864","11000","1299525","29231","123776","N/A","36259","956","1222","36","213023","N/A","N/A","N/A","N/A","N/A"
"413","Condemned","United States","Metal","Big Indie Labels","144726","232419","14671","1057768","4569","64283","273518","567","65578","1001","72165","N/A","11406","201209","3922","N/A","122757","N/A","N/A","N/A","N/A","N/A"
"414","Mastifal","Argentina","Metal","N/A","144764","183366","17742","6746259","14963","9328","139079","2490","415163","7919","117935","N/A","7321","56747","2225","30","121474","N/A","N/A","N/A","N/A","N/A"
"415","Fossilization","Brazil","Metal","N/A","145096","181556","13068","1291265","11580","53347","N/A","N/A","N/A","N/A","156901","N/A","9341","6528","516","N/A","228282","N/A","N/A","N/A","N/A","N/A"
"416","Dark Age","Germany","Metal","N/A","145379","128871","24471","13472944","20798","503698","249674","275","553458","2480","384594","N/A","N/A","6339","2420","N/A","26467","N/A","N/A","N/A","N/A","N/A"
"417","Bloody Falls","Finland","Metal","Big Indie Labels","145506","147417","9764","3870613","53857","78714","223061","566","17343","380","301147","N/A","3184","3543","201","4","103909","N/A","N/A","N/A","N/A","N/A"
