"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"343","Immortal Sÿnn","United States","Metal","N/A","203148","335864","3248","235095","1578","35228","200064","1270","250960","5651","65386","N/A","3280","63166","132","62","143641","N/A","N/A","N/A","N/A","N/A"
"344","Confess","Norway","Metal","Other Indie / Unsigned","203274","188454","8210","1541078","3596","733100","139832","3350","362174","9722","246105","N/A","4151","1300","304","1124","72434","N/A","N/A","N/A","N/A","N/A"
"345","Concrete Age","United Kingdom","Metal","N/A","203809","359015","2891","343970","1353","12652","109521","11700","921334","42449","226762","N/A","4643","9671","203","142","187439","N/A","N/A","N/A","N/A","N/A"
"346","Ancient Rites","Belgium","Metal","N/A","204172","253486","11743","1519729","3342","28972","N/A","N/A","N/A","N/A","210092","N/A","3728","15365","1655","N/A","83142","N/A","N/A","N/A","N/A","N/A"
"347","Perpetual Warfare","Colombia","Metal","Big Indie Labels","204757","300262","6992","873166","2239","20737","130063","7000","1405812","23238","131615","N/A","9212","33283","648","143","201555","N/A","N/A","N/A","N/A","N/A"
"348","At War","United States","Metal","N/A","205556","247339","12555","620804","2907","73911","584730","17","N/A","N/A","347385","N/A","N/A","7675","565","N/A","63395","N/A","N/A","N/A","N/A","N/A"
"349","Aftermath","United States","Metal","Big Indie Labels","205836","322889","6102","550008","356","87495","N/A","N/A","N/A","N/A","98213","N/A","13190","32203","1627","N/A","48104","N/A","N/A","N/A","N/A","N/A"
"350","Terrifier","Canada","Metal","Other Indie / Unsigned","207855","179430","15508","1324849","4725","625952","415572","227","7129","160","361450","N/A","N/A","7698","506","23","134401","N/A","N/A","N/A","N/A","N/A"
"351","Thrash Or Die","United States","Metal","N/A","208172","318708","7921","371561","701","25082","N/A","N/A","N/A","N/A","92821","N/A","N/A","133376","5682","N/A","91135","N/A","N/A","N/A","N/A","N/A"
"352","Descomunal","Ecuador","Metal","Other Indie / Unsigned","208263","291392","5850","1011568","2320","54428","137456","5230","1141709","12266","56940","4757","10359","31254","746","161","404993","N/A","N/A","N/A","N/A","N/A"
"353","Fallcie","Russian Federation","Metal","Big Indie Labels","208476","239317","9526","1984447","4652","74464","163209","4260","729648","12727","175687","N/A","11266","7246","434","42","219331","N/A","N/A","N/A","N/A","N/A"
"354","Gammacide","United States","Metal","N/A","209343","252068","14191","468590","2038","74806","179729","746","15493","450","326789","N/A","N/A","6335","271","N/A","141137","N/A","N/A","N/A","N/A","N/A"
"355","Doömzday","Ukraine","Metal","N/A","209486","266767","7124","932130","4790","2617","150295","2410","25595","1303","N/A","N/A","2803","N/A","N/A","683","N/A","N/A","N/A","N/A","N/A","N/A"
"356","Anacrusis","United States","Metal","Big Indie Labels","210121","241152","15039","1177129","2990","91071","224359","839","439387","5364","403024","N/A","N/A","6220","885","N/A","62836","N/A","N/A","N/A","N/A","N/A"
"357","Reality Suite","United States","Rock","Big Indie Labels","210222","294043","3155","1446279","1169","163711","150354","5490","463563","16826","111426","6596","26994","10714","160","73","96231","N/A","N/A","N/A","N/A","N/A"
"358","Susperia","Norway","Metal","N/A","211405","227234","10090","4206769","4243","98738","183495","1870","448029","5324","159989","N/A","2334","35706","1227","N/A","111754","N/A","N/A","N/A","N/A","N/A"
"359","Dr Living Dead","Sweden","Metal","N/A","212386","252716","12536","2854967","2664","62864","N/A","N/A","N/A","N/A","178433","N/A","5239","18824","1376","N/A","78739","N/A","N/A","N/A","N/A","N/A"
"360","Act of Defiance","United States","Metal","N/A","212495","272211","11081","1456700","1352","35814","609593","3","443","4","139578","N/A","3999","28692","1746","N/A","100891","N/A","N/A","N/A","N/A","N/A"
"361","Ottto","United States","Metal","N/A","212898","248772","9464","1025364","3373","24564","102271","4980","367254","7929","141793","N/A","28158","N/A","157","90","96527","N/A","N/A","N/A","N/A","N/A"
"362","Outrage","Japan","Metal","Universal Music Group","213426","250352","10733","2118165","4701","22805","173651","N/A","N/A","N/A","245438","N/A","N/A","3767","N/A","N/A","88694","N/A","N/A","N/A","N/A","N/A"
"363","Austral","Chile","Metal","Warner Music Group","213609","262251","10205","1440105","2879","5651","135354","4380","450149","11810","391265","N/A","N/A","6623","N/A","39","220719","N/A","N/A","N/A","N/A","N/A"
"364","BLOODSPOT","Germany","Metal","Big Indie Labels","213994","272331","6910","1997932","3437","15222","136057","6070","1455313","20926","301140","N/A","1761","7460","813","N/A","64118","N/A","N/A","N/A","N/A","N/A"
"365","Viking","United States","Metal","N/A","214011","252107","17354","418157","1379","75191","351413","233","104158","646","215867","N/A","N/A","23424","N/A","N/A","66808","N/A","N/A","N/A","N/A","N/A"
"366","Methedras","Italy","Metal","Other Indie / Unsigned","214100","328671","4871","556184","215","113297","212102","1470","600217","11831","97899","N/A","14786","45391","1626","1047","176604","N/A","N/A","N/A","N/A","N/A"
"367","Under Exile","United States","Metal","N/A","214343","261574","6578","563524","7586","22204","181829","1240","61932","2621","203318","N/A","7550","5967","93","43","409218","N/A","N/A","N/A","N/A","N/A"
"368","Powermad","United States","Metal","N/A","214599","217078","9126","2024380","10970","115759","489247","115","1491","17","N/A","N/A","111","2982","455","209","59715","N/A","N/A","N/A","N/A","N/A"
