"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"415","Jessie Reyez","Canada","R&B","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","2245","1392","1622807","4003099502","6863522","113766131","2053","1570000","1014315588","12646879","1627","1686170","4889001","998047","113810","86614","6340","74675","44","2","18","105.33345253256104"
"416","Karina y Marina","Spain","Pop","Big Indie Labels","2246","30450","408761","65666032","220536","138180","544","9050000","3294505175","112106760","5824","116300","1290869","2746","5649","N/A","179516","N/A","N/A","N/A","N/A","N/A"
"417","Brett Young","United States","Country","Big Indie Labels","2253","2179","1292042","2570222025","4250038","21508971","1805","2090000","1715363177","9117964","4677","893721","1315381","1240714","107110","23053","1576","71411","N/A","N/A","N/A","N/A"
"418","Robin Thicke","United States","Pop","Big Indie Labels, Universal Music Group","2257","1848","2007645","1899314508","6439863","54851356","2079","2080000","1648902854","8823851","6562","248717","804369","4265718","950733","15504","1022","123695","36","3","366","1956.9061075967495"
"419","Adam Levine","United States","Pop","Universal Music Group, Sony Music Entertainment","2261","3452","1074745","4804409526","1981906","97900767","1337","N/A","N/A","N/A","916","801879","14537969","16531801","612851","N/A","15643","111494","11","2","32","11.896420800230365"
"420","YEBBA","United States","Religious","Sony Music Entertainment, Big Indie Labels, Universal Music Group","2267","971","898178","2155210401","16888378","81826007","7397","287000","150970427","2256228","8225","109674","1112998","230953","25942","10104","41538","3811","N/A","N/A","N/A","N/A"
"421","Savage Garden","Australia","Pop","Sony Music Entertainment","2270","1649","1650769","1634306754","8102707","51680843","1885","1330000","1378193309","6366333","N/A","N/A","12382","1140128","229665","5278","306","N/A","N/A","N/A","N/A","N/A"
"422","SHINee (샤이니)","South Korea","Pop","Big Indie Labels","2271","4190","3345204","1304463132","2749611","6492580","3283","2610000","1470588744","37674143","643","2133382","5624709","5459618","473842","12235","8839","157754","2","0","0","0.528040923211019"
"423","Haddaway","Trinidad and Tobago","Pop","BMG, Big Indie Labels","2273","1356","528905","1502078510","13291981","43925775","3268","376000","800645623","6956281","31432","N/A","54080","145509","99533","N/A","321","20601","123","5","263","287.0226970307158"
"424","Kim Petras","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","2274","836","1236534","4593709114","11860540","121918072","3633","630000","810887895","9910439","5328","885174","1165290","179231","138686","34397","3439","328","51","17","2255","19259.668983309173"
"425","Vitaa","France","Pop","Universal Music Group, Big Indie Labels","2276","4036","1586005","1156961321","3055322","7457743","1647","1770000","2296070311","10932576","4140","888958","1173731","2632659","1829218","N/A","1244","98665","45","0","0","29.33846383422339"
"426","Gryffin","United States","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","2277","1441","1033278","4047264652","10064860","117855741","1883","1200000","1129320508","10924187","6297","296789","397741","243706","57370","254569","3199","2931","229","32","865","1887.3986488473533"
"427","Icona Pop","Sweden","Pop","Sony Music Entertainment, Warner Music Group","2281","1114","832424","2766419021","13641341","88950256","8804","777000","544287192","4741529","16969","167016","238180","1705871","617356","356189","1435","1640","165","37","3492","9290.716149445218"
"428","Alonzo","France","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, BMG, Sony Music Entertainment","2285","2900","2336116","2372436744","4250926","9718229","1310","3150000","2520200400","14548159","6227","551123","1716408","1399413","1874116","N/A","8690","N/A","N/A","N/A","N/A","N/A"
"429","ХАБИБ","Russian Federation","Pop","Warner Music Group, Big Indie Labels","2294","47360","110018","71094193","174200","366022","569","9460000","9821320642","245405166","2364","15348338","990332","1173","34105","N/A","18503","N/A","N/A","N/A","N/A","N/A"
"430","Soobin Hoàng Sơn a.k.a SOOBIN","Vietnam","Pop","Big Indie Labels, Universal Music Group, Warner Music Group","2298","6135","1408597","475891894","1513787","1447812","2480","1580000","1445363634","7682102","1970","1489710","2924688","2381192","2350","18765","N/A","92766","N/A","N/A","N/A","N/A"
"431","Seal","United Kingdom","R&B","Warner Music Group, Universal Music Group, Sony Music Entertainment","2301","1895","2183722","1597746513","7100513","74951045","6878","662000","384192349","2860140","4955","306142","929116","1967712","580715","16247","378","12037","29","6","212","904.0566988004113"
"432","Kaaris","France","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","2304","4148","2213351","1848324674","3027204","7886040","1600","3490000","1457795245","11912581","2908","435597","3212522","2882823","2085783","N/A","16399","N/A","N/A","N/A","N/A","N/A"
"433","Kenny Loggins","United States","Rock","Sony Music Entertainment, Universal Music Group, Big Indie Labels","2324","1236","1320575","2268913298","9309281","97888280","2467","643000","1071070777","6203215","19702","72909","93213","668727","108400","1108","256","132223","10","0","0","6.128940501280061"
"434","Roy Orbison","United States","Pop","Big Indie Labels, Sony Music Entertainment","2328","1463","2402321","2187187061","7015623","65207310","3977","1000000","602590756","3778253","N/A","N/A","139391","1719169","416739","35454","286","92943","27","0","0","37.36760877569652"
"435","Ray Dalton","United States","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","2332","564","156094","8030124126","20518803","121771336","2816","107000","2081973890","14060202","16485","179607","66310","39896","32082","180","1734","15454","18","4","1067","292.6306296871243"
"436","Colbie Caillat","United States","Pop","Universal Music Group, BMG, Big Indie Labels, Sony Music Entertainment, Warner Music Group","2347","1180","2575863","3378607893","8626026","61907351","2819","1140000","1017906115","6633465","4283","406145","408738","1882652","651022","7255","991","N/A","N/A","N/A","N/A","N/A"
"437","Madilyn Bailey","United States","Pop","Big Indie Labels","2349","5849","518973","850788899","1023614","17915704","2130","9520000","1575749233","41821834","6266","3139245","900581","1750338","137588","155534","115659","N/A","N/A","N/A","N/A","N/A"
"438","Elodie","Italy","Pop","Sony Music Entertainment, BMG, Universal Music Group, Big Indie Labels, Warner Music Group","2352","3658","1156310","1463299856","3291216","9020649","2709","572000","904657188","3396044","1041","1146876","3841634","821748","66064","2180","1565","N/A","N/A","N/A","N/A","N/A"
"439","Blue","United Kingdom","Pop","Big Indie Labels, Universal Music Group","2354","3782","797922","952719984","3575421","17091672","1593","1510000","1246941200","7138244","2143","532611","885777","1774547","138632","5775","706","N/A","N/A","N/A","N/A","N/A"
"440","Elley Duhé","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","2357","621","706141","4361477344","15227167","140288788","3179","884000","1307008819","16190891","33622","399060","149524","29876","45192","30328","2101","2065","56","9","561","4248.476351404347"
"441","Alessandra Amoroso","Italy","Pop","Sony Music Entertainment, Warner Music Group","2360","5271","1594267","984316843","1451091","6104897","2714","1020000","1361334551","5098245","3310","594565","4080982","2962280","209848","N/A","1487","119852","3","0","0","5.143162031246492"
"442","Victoria Beckham","United Kingdom","Pop","N/A","2361","67880","130699","13265692","43111","629722","29791","150000","28042193","203272","N/A","3014195","33505372","4720615","5979","N/A","66400","165910","1","0","0","0.39723515801937975"
"443","Olly Alexander","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","2370","808","2053021","4148068272","14849352","90656519","5534","1730000","1079450783","7795877","13563","488635","752088","837448","944076","175210","8062","N/A","N/A","N/A","N/A","N/A"
"444","Iyaz","British Virgin Islands","Pop","Big Indie Labels, Warner Music Group","2373","1100","1242225","1925887569","15442911","68555851","3989","1250000","1265887255","8114532","19684","1126","50427","1699098","227925","4925","2723","93815","N/A","N/A","N/A","N/A"
"445","Jordi","United States","Pop","Big Indie Labels","2382","27063","322768","55227265","302459","308954","655","4940000","4755339816","244349700","2173","10948932","1742872","N/A","N/A","N/A","81465","N/A","N/A","N/A","N/A","N/A"
"446","Harshdeep Kaur","India","Pop","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","2388","1368","6360699","1067245473","10486729","12809975","2350","476000","1813370573","10838378","10763","146478","897469","1832693","3089","439","24181","N/A","N/A","N/A","N/A","N/A"
"447","Jovanotti","Italy","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group","2397","4034","2813910","1602864768","2670380","9230515","4143","1080000","972524427","4164976","1454","1224989","2500715","2984438","185598","18764","640","25243","68","1","1","65.4171440502662"
"448","Agnez Mo","United States","Pop","Other Indie / Unsigned","2401","31659","188242","137762854","375435","2156432","5457","1400000","601909189","6013116","458","1950936","31954677","6670608","30512","14360","15666","109579","4","1","20","18.50103141124364"
"449","Koba Lad","France","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","2404","2976","4297294","2651542826","2924509","5785361","2598","3460000","1527327527","16407157","16725","613588","769","1642481","2611997","124","21748","50737","79","0","0","180.50797654879844"
"450","Marco Mengoni","Italy","Pop","Sony Music Entertainment, BMG, Warner Music Group","2414","4312","2329494","1440239496","2255130","9815002","1598","1360000","1433929462","6221485","2945","751140","2719519","2210027","274861","2318","1024","143710","12","0","0","3.168245539266115"
"451","Hamza","Belgium","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","2415","2276","1935795","3167083175","5402918","13052805","7613","775000","347024823","2842793","12417","N/A","706162","150968","1158690","53054","6123","N/A","N/A","N/A","N/A","N/A"
"452","TobyMac","United States","Religious","Universal Music Group","2433","4564","1570949","2002407332","2711865","21184145","1920","1490000","1049260539","7634884","5722","246077","1287310","5361235","340800","15662","473","145141","11","2","27","38.96312440015602"
"453","The Wanted","United Kingdom","Pop","Universal Music Group","2439","1780","2459508","1865877670","6380248","50670870","3684","2010000","1021655738","8557248","7430","136533","231136","4467339","922392","591200","1925","138869","16","1","31","29.552345699416822"
"454","Enola Bedard","United States","Pop","N/A","2441","202794","7506","1618441","13614","91156","1845","5050000","2682898164","76495385","1007","16850185","2719526","1193515","778","11","329425","N/A","N/A","N/A","N/A","N/A"
"455","Elettra Lamborghini","Italy","Latin","Sony Music Entertainment, Universal Music Group, Warner Music Group","2448","8950","963958","533424814","2690866","6175374","4144","1360000","749036967","5453277","2067","3348717","7274221","1410263","29422","875","6926","51038","N/A","N/A","N/A","N/A"
"456","HooplaKidz","United States","Pop","Sony Music Entertainment","2454","64024","15141","67818432","234389","159805","414","11500000","6494705234","26394613","58540","N/A","17903","276943","37","2824","186975","N/A","N/A","N/A","N/A","N/A"
"457","Walk Off the Earth","Canada","Pop","Big Indie Labels, Universal Music Group","2461","6388","834544","1065079276","2146410","19159934","2024","6930000","2084650565","38157209","3161","3333620","1570595","3803234","215548","53188","5746","107670","10","6","112","121.88467081814065"
"458","Demet Akalın","Turkey","Pop","Big Indie Labels, Sony Music Entertainment","2463","3117","2251364","1119230185","4599974","7199114","2502","1350","3119274715","9502043","1552","482026","10063237","766115","362240","6994","4531","N/A","N/A","N/A","N/A","N/A"
"459","Gloria Estefan","United States","Pop","Warner Music Group, BMG, Universal Music Group","2467","2255","902131","1445047726","6011344","39855121","2261","1150000","919570715","5409260","7061","39","1045395","1632625","295407","2436","245","88534","28","0","0","8.812207143155263"
"460","Jessi (제시)","South Korea","Pop","Big Indie Labels, Warner Music Group, BMG","2468","5872","2760240","786899946","1221079","5756626","2896","4170000","1303459392","25337056","903","7961473","14738563","3364194","200286","290","26884","48295","N/A","N/A","N/A","N/A"
"461","Becky Hill","United Kingdom","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","2473","813","952445","5710271100","9848386","146105480","2882","416000","1397469291","11034870","13524","716426","731037","223954","241166","64640","759","411","250","55","5087","20718.48094749044"
"462","Ronisia","France","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","2492","6944","955073","496529500","2175244","7850989","2669","773000","488497498","3377804","1224","2393483","1022725","173745","481823","1111","11765","100088","9","0","0","16.61806043503744"
"463","Rauf & Faik","Russian Federation","Pop","Warner Music Group","2498","4490","1619967","1046264186","2379351","2770804","1445","6380000","2347347115","29317010","13938","1665659","854948","143680","204971","123231","11508","N/A","N/A","N/A","N/A","N/A"
"464","Maggie Lindemann","United States","Pop","Universal Music Group","2499","2636","2068162","2026245058","2963647","20916477","3550","2440000","840052525","12197415","2012","2706316","6231581","2184192","54942","49115","4204","157222","1","0","0","1.2744455305665574"
"465","Edward Maya","Moldova","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","2500","1421","384101","1583331207","11542958","59157174","4932","676000","791597806","5546847","13098","199124","132194","1963949","170119","53789","1016","9126","264","5","88","752.8848666461466"
"466","DJADJA & DINAZ","France","Hip Hop","Big Indie Labels","2504","3506","3259369","2974167430","2817509","5042252","3186","2630000","1328332091","7620513","10361","274970","577499","593563","3028745","N/A","13449","58681","N/A","N/A","N/A","N/A"
"467","Aria Vega","Colombia","Pop","Universal Music Group, Warner Music Group, Big Indie Labels","2507","6030","64317","101394171","6105075","45568804","9955","43500","33290428","211945","4306","681477","356702","74522","87","N/A","69486","N/A","N/A","N/A","N/A","N/A"
