"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"22","Ansellma","Indonesia","Pop","Big Indie Labels","19632","162854","-9","62554","455","3527375","65","1160","8776","85347","0","40800","53","1446591","0","69022","1956","-268","2099802","869625","0","-234","1514221","71232","0","3","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Caloy Quemada","Philippines","Pop","N/A","19755","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13854","1000","754000","199699","101973828","2824","3017170","10938","-687","1351567","1917","0","0","34187","0","0","2285101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"24","Belle Nuntita","Thailand","Pop","N/A","20101","520639","0","241","10","8865","21","1253","3","46115","0","27400","15461","45529436","140","223429","3550","1001","780282","78681","0","2130","92002","43187","5555","718615","1","1329","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"25","Zwe Htet","Thailand","Pop","N/A","21737","488073","0","1258","346","143497","-9","492","N/A","12542","0","391000","536337","145603108","2981","1078038","10209","-730","1599999","7923","0","N/A","N/A","N/A","N/A","N/A","0","1","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"26","Sandy&Mandy","Taiwan","Pop","Other Indie / Unsigned","21799","356231","1","429","9209","1552685","-5","1115","89","N/A","0","1300000","3857342","198639591","38516","3481942","N/A","-376","1172537","2598","0","N/A","N/A","N/A","0","2618728","0","43","0","2","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Lê Thúy Hằng","Vietnam","Pop","N/A","21974","754891","0","2","0","0","0","4","N/A","9754","6000","260000","49504","4009504","2291","162852","144465","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-164","21588","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"28","zenithlovesdaisy","Thailand","Pop","N/A","22069","96619","193","25971","123743","11270448","-2051","67673","1048","10063","0","122000","0","72929854","0","301158","126869","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-16","67381","0","17","6","7138","1424","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"29","แตงโม สยาภา","Thailand","Pop","Other Indie / Unsigned","22997","648764","1","361","5","182023","0","7","34","11926","1000","286000","852000","86375884","9149","2018560","15695","0","1300000","0","0","-91","292007","1365","8315","735078","0","1","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"30","Phyo Pyae Sone","Myanmar","Pop","Big Indie Labels","23058","117877","123","39677","56379","9215254","-455","43377","6230","18329","0","349000","56846","127629768","156","675615","21206","N/A","N/A","N/A","N/A","5","33942","9","0","2234316","0","22","0","2","23","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"31","NouerA","South Korea","Pop","Other Indie / Unsigned","23136","88632","770","35273","86135","3040134","17059","119913","903235","26928","1000","218000","121014","36936044","10605","1316717","20840","3108","363042","216739","0","2085","160834","14929","1063","15487","14","602","N/A","N/A","N/A","N/A","112914","142","5","7","N/A","N/A","N/A","N/A","N/A","N/A"
