"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"141","ROLE MODEL","United States","Pop","Universal Music Group","2167","1558","911669","1597241143","9440890","79597241","8605","382000","101372074","2166693","2166","910233","1234364","19146","21125","16396","1779","151364","4","0","0","2.0399870290308337"
"142","Grimes","Canada","Pop","Big Indie Labels, Universal Music Group, Warner Music Group","2171","1701","2712968","2712907095","7846985","41941946","3621","1390000","756263498","9974981","4417","874252","2441093","945307","279639","171828","8320","1552","102","21","934","5587.315075387245"
"143","Finneas","United States","Pop","Universal Music Group","2185","1535","2422746","2683025577","6181904","61815409","7728","1590000","331028438","8023566","923","3976369","4753256","897028","239832","61614","7674","1896","11","1","266","2020.6413177016948"
"144","Kimbra","United States","Pop","Big Indie Labels, Universal Music Group, Warner Music Group, BMG","2230","760","532807","3022544776","15716790","105881184","1839","353000","3279903015","24101429","20774","45214","285557","437780","188967","39871","17181","141","39","4","911","26818.248125033206"
"145","The Kooks","United Kingdom","Rock","Big Indie Labels, Universal Music Group","2240","1301","2701102","3193303554","6881804","62350703","7091","588000","555668387","3207277","5034","186779","393183","2340195","807247","77652","1669","135443","2","0","0","3.746721178603189"
"146","alt-J","United Kingdom","Rock","BMG, Big Indie Labels, Sony Music Entertainment","2252","1106","3456732","4595795186","8175283","52567736","5947","1220000","1073568877","6773392","13384","74219","412676","1476295","599305","1117364","3044","45972","34","7","240","518.7731202215391"
"147","Holy Baam","Ukraine","Pop","Other Indie / Unsigned","2254","135671","45613","4482159","17029","146","301","10500000","5666410082","276974907","45629","923763","14396","25","217","1803","N/A","157833","1","0","0","1.1147109478004347"
"148","Kim Petras","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","2274","836","1236534","4593709114","11860540","121918072","3633","630000","810887895","9910439","5328","885174","1165290","179231","138686","34397","3439","328","51","17","2255","19259.668983309173"
"149","Kelsea Ballerini","United States","Country","Universal Music Group","2307","1557","1382563","3810342253","7318612","72985152","3212","772000","896250446","6247663","1074","2788549","4507012","1120243","60388","15003","1283","87963","10","2","45","44.113938998934835"
"150","Sevdaliza","Netherlands","Pop","Big Indie Labels, Universal Music Group","2312","1376","962888","1711953210","9835358","28132305","4044","1260000","662885777","8464467","7778","1290282","1006007","118490","65028","67295","6952","1546","15","4","150","2035.2714172499507"
