"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"90","Kasabian","United Kingdom","Rock","Sony Music Entertainment","3699","2837","1904576","1569582557","5912059","66855018","8103","410000","391970539","2324734","10360","37983","392528","1432144","806615","N/A","2270","17859","20","2","101","120.20521786600276"
"91","Current Joys","United States","Rock","Big Indie Labels, Warner Music Group","3758","1454","1875380","2192732308","7590891","27803809","14873","187000","187459369","3129235","38719","20951","173894","45204","73866","66325","24483","N/A","N/A","N/A","N/A","N/A"
"92","The Rare Occasions","United States","Rock","Warner Music Group","3838","1821","821388","1202905802","10188480","14940201","8393","502000","195750714","5103897","32495","245177","134448","12956","14168","23550","32988","N/A","N/A","N/A","N/A","N/A"
"93","Geese","United States","Rock","Big Indie Labels","3848","6789","396054","206428810","1857009","20024016","10506","85000","14789336","404227","22886","66013","393380","9046","13057","3385","7499","N/A","N/A","N/A","N/A","N/A"
"94","Cafuné","United States","Rock","Warner Music Group, Big Indie Labels","3878","1630","676324","1468231993","9507027","15765460","7774","373000","217383560","3322710","35508","233611","95870","6233","17190","29315","28249","N/A","N/A","N/A","N/A","N/A"
"95","Big Thief","United States","Rock","Big Indie Labels","3885","2070","1450469","1566949712","6023271","46959193","15207","146000","58654138","696521","9965","195739","436909","94056","65208","14829","5796","18616","103","0","0","169.20334270342167"
"96","Liam Gallagher","United Kingdom","Rock","Warner Music Group, BMG","3912","7365","1274679","766026741","1225427","13117726","13489","532000","192323379","2482010","993","1471575","3114180","934535","178674","N/A","3386","N/A","N/A","N/A","N/A","N/A"
"97","Syml","United States","Pop","Big Indie Labels, Universal Music Group","3957","1005","1032234","3036845035","11010650","71783910","8253","390000","487314956","5649834","20229","N/A","172125","51967","90960","36850","9578","60796","30","7","378","1190.784455825805"
"98","Arcade Fire","Canada","Rock","Sony Music Entertainment, Warner Music Group","3971","2785","2436385","2529459932","3900077","34624688","7340","555000","474356359","3108980","9629","67220","525286","2085093","713370","16614","1598","166087","1","0","0","0.2640204616055095"
"99","Foals","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","4040","3009","1486461","1974310609","4311589","37211506","12884","511000","406788090","3038845","14135","35028","429524","991885","461635","2338145","2934","6204","44","7","1093","8952.310341033319"
"100","Ryokuoushoku Shakai (緑黄色社会)","Japan","Pop","Sony Music Entertainment, Big Indie Labels","4117","4731","1506725","819338042","2647637","8155084","5702","940000","550338264","4135828","7133","276968","383176","878","5554","873","30468","N/A","N/A","N/A","N/A","N/A"
"101","Interpol","United States","Rock","Big Indie Labels","4141","3967","1878859","1606463932","2391628","22699035","9272","437000","271459331","2093441","6915","62167","451874","1444666","471461","15903","3254","18743","229","2","102","242.31772223356316"
"102","Aur","Pakistan","Hip Hop","Sony Music Entertainment","4147","5126","1756151","743123755","1971572","4484700","1810","2400000","698720390","9761238","21726","207732","191171","N/A","603","N/A","69830","N/A","N/A","N/A","N/A","N/A"
"103","Payung Teduh","Indonesia","Pop","N/A","4157","2006","4135691","1479611825","5992118","4717621","8863","877000","440038533","1943327","30783","N/A","313278","90517","38451","118482","17894","N/A","N/A","N/A","N/A","N/A"
"104","Lilly Wood & The Prick","France","Pop","BMG, Warner Music Group","4176","1813","276596","1567071752","9057425","36398529","5790","128000","1086424003","5718744","28561","16807","31392","189438","737735","N/A","1213","7139","12","2","72","293.9787830515013"
"105","Metric","Canada","Rock","Big Indie Labels","4214","3396","970789","1102100675","5002874","31240652","9366","281000","257536010","2501306","23309","N/A","195570","787346","132831","191711","3833","N/A","N/A","N/A","N/A","N/A"
"106","The Rose(더로즈)","South Korea","Rock","Big Indie Labels","4306","5468","2856972","893537999","1155708","3245878","5892","1770000","373258732","8969848","5577","2174204","1840133","301566","188876","3295","23765","N/A","N/A","N/A","N/A","N/A"
"107","Julian Casablancas","United States","Rock","Sony Music Entertainment, Warner Music Group","4345","2921","617260","1062340973","5181617","20660360","3418","106000","1282687403","7166283","16161","13616","580707","666235","193131","N/A","26516","46603","5","1","325","320.05633204906235"
"108","Sushant KC","Nepal","Pop","Big Indie Labels, Warner Music Group","4355","14594","625737","197591976","711728","219512","2359","2530000","801198254","8019227","8705","152317","226359","302967","3729","2335","54058","N/A","N/A","N/A","N/A","N/A"
