"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"242","Indio Solari","Argentina","Rock","Big Indie Labels, Sony Music Entertainment","4865","8753","1183209","674019206","1180194","2184307","4141","631000","636542308","2506080","15947","36775","989356","369545","30765","N/A","46145","N/A","N/A","N/A","N/A","N/A"
"243","Detonautas Roque Clube","Brazil","Rock","Sony Music Entertainment, Big Indie Labels","4870","4852","1217065","697733301","2709843","12903096","8034","720000","485904649","3490814","13205","149190","411989","865252","476246","15424","5612","N/A","N/A","N/A","N/A","N/A"
"244","overtonight","United States","Rock","Other Indie / Unsigned","4888","7131","189953","224615073","2424666","1052817","14995","110000","21319795","654989","N/A","N/A","58858","N/A","2326","7234","255575","N/A","N/A","N/A","N/A","N/A"
"245","Faith No More","United States","Rock","Big Indie Labels","4895","3331","1979417","1164834430","3456336","42975472","11621","171000","307985227","2120096","13427","N/A","265672","1520875","633982","N/A","820","N/A","N/A","N/A","N/A","N/A"
"246","Chris Cornell","United States","Rock","Universal Music Group","4906","4700","2354266","1006197836","2295703","18705449","13060","465000","152901765","1338391","N/A","N/A","1193468","2408350","336911","N/A","4121","N/A","N/A","N/A","N/A","N/A"
"247","Jet","Australia","Rock","Big Indie Labels, Sony Music Entertainment","4921","2063","777143","1295524600","7461798","47317765","12748","248000","339715265","2516216","30239","N/A","48084","530350","119783","2561","1553","N/A","N/A","N/A","N/A","N/A"
"248","DLD","Mexico","Rock","Sony Music Entertainment, Big Indie Labels","4965","3999","1101220","1204227013","3054555","9813518","6566","760000","809679234","2585778","15721","N/A","336325","1102779","237979","N/A","11889","N/A","N/A","N/A","N/A","N/A"
"249","Gerry Rafferty","United Kingdom","Rock","Warner Music Group","4972","2498","511158","882126874","7972034","46004010","15332","157000","181437787","1335882","N/A","N/A","9696","40857","23761","N/A","1105","90599","4","0","0","3.112078814556022"
"250","Raimundos","Brazil","Punk","Other Indie / Unsigned","4997","4600","1695387","869123107","2957599","15014945","9183","406000","391864339","2853194","20269","N/A","451371","1133897","944701","N/A","3573","121237","2","0","0","3.6162309542003097"
"251","Garbage","United States","Rock","BMG, Big Indie Labels","5031","4729","1372106","801129956","2513366","25636827","9234","412000","279060913","2442343","6503","42106","633847","907203","266744","3401","1126","151272","3","1","25","2.821018688446655"
"252","Nothing but Thieves","United Kingdom","Rock","Sony Music Entertainment, Big Indie Labels","5068","3631","1373921","2048919034","3184326","32802470","7944","675000","309504778","4565196","18048","77518","430280","269413","235643","23887","3348","N/A","N/A","N/A","N/A","N/A"
"253","FLOW","Japan","Rock","Sony Music Entertainment, Big Indie Labels, Universal Music Group","5070","6536","589047","721446002","1966039","6039517","5094","792000","491540589","5573218","4735","438581","340197","313206","59095","N/A","11735","N/A","N/A","N/A","N/A","N/A"
"254","Gripin","Turkey","Rock","Big Indie Labels","5096","4512","1669602","658964395","3312236","6626552","6904","229000","570791820","2775895","25065","25691","128201","1108541","308814","N/A","17105","N/A","N/A","N/A","N/A","N/A"
"255","Pedro Suárez-Vértiz","Peru","Rock","N/A","5127","8510","2089959","429814546","808399","2426382","7534","623000","472696848","2460009","6578","1484","890588","3278848","30052","4149","4212","N/A","N/A","N/A","N/A","N/A"
"256","Mammoth WVH","United States","Rock","BMG, Big Indie Labels","5128","27148","204189","95056631","315961","4447504","2095","759000","59897831","657414","12084","6579","222933","116446","8730","N/A","9074","N/A","N/A","N/A","N/A","N/A"
"257","SIDDHARTH MAHADEVAN","India","Pop","Big Indie Labels, Sony Music Entertainment","5135","3941","224088","534965732","5066994","7633796","3062","N/A","N/A","N/A","24367","N/A","136872","1315944","1758","N/A","62912","N/A","N/A","N/A","N/A","N/A"
"258","South Arcade","United Kingdom","Rock","Big Indie Labels","5168","11583","304765","135557187","1205363","5585642","2956","344000","246677171","4379202","2027","578206","482734","45200","6576","4407","39250","N/A","N/A","N/A","N/A","N/A"
