"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"432","Frei.Wild","Germany","Rock","N/A","8758","19854","1118","417908","1841199","621078281","-9380","585034","630210","8624","0","621000","87891","673099012","575","3588245","8929","487","179635","11029","0","548","180074","6008","142","628385","-1","41768","4","2591","192","6","2906","2131","8","89","N/A","N/A","N/A","N/A","N/A","N/A"
"433","The Tragically Hip","Canada","Rock","Universal Music Group","8813","8661","817","1100770","2190441","842173386","3042","1109695","3347600","13850","0","172000","406061","164970600","2760","979891","N/A","72","173331","2931","0","11","294083","1856","270","517084","33","34526","10","10868","6555","25","1850","3864","26","267","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"434","Roar","United States","Rock","Other Indie / Unsigned","8840","2546","4504","1603972","3258412","1282267447","7416","4415628","15405584","49883","N/A","N/A","N/A","N/A","N/A","N/A","88585","N/A","N/A","N/A","N/A","131","74238","110","N/A","N/A","188","80260","N/A","N/A","N/A","3","138105","7","4","5","N/A","N/A","N/A","N/A","N/A","N/A"
"435","Jake Bugg","United Kingdom","Rock","Sony Music Entertainment, Universal Music Group, Big Indie Labels","8848","6721","499","822211","1026616","952053891","12883","1328406","16672228","12126","0","524000","140450","237133033","1193","2303854","14009","157","73142","6297","0","-168","343328","131","-69","756055","74","308296","9","5846","690","170","3688","1553","54","444","16123","11","5","720","10.804959058767606","3158.9622254741394"
"436","Pavement","United States","Rock","Big Indie Labels","8870","6190","1717","779972","2032790","780078007","-17985","2342171","7936346","27999","0","91300","7745","45509557","47","592306","10484","1224","85361","30182","0","399","147418","8086","-60","195505","122","57832","N/A","N/A","N/A","92","8233","611","31","205","N/A","N/A","N/A","N/A","N/A","N/A"
"437","Maldita Vecindad","Mexico","Rock","BMG, Sony Music Entertainment","8930","4261","3683","1487178","3855575","960416465","71096","2809837","18590627","16943","0","258000","193768","117870643","1538","659381","17993","0","289","0","0","590","323634","1218","0","897754","4","62122","0","1619","10","228","51442","67","4","18","N/A","N/A","N/A","N/A","N/A","N/A"
"438","Bernth","Austria","Rock","N/A","8973","58186","209","119868","131671","33952790","3553","125220","1163983","3712","0","1490000","0","355711398","0","15991785","11681","986","112092","25908","0","3782","563331","5748","9138","252923","31","3696","N/A","N/A","N/A","0","382588","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"439","La Gusana Ciega","Mexico","Rock","Big Indie Labels","9027","7041","2226","914846","1755201","587060345","19218","1678599","8535082","16309","0","192000","156698","114820054","663","581537","21286","46","26521","186","0","209","181432","3581","-297","938385","49","181877","N/A","N/A","N/A","96","15117","327","14","56","N/A","N/A","N/A","N/A","N/A","N/A"
"440","ILIA","United States","Pop","N/A","9052","547077","0","1611","53","59079","1","25","38","4610","0","205000","2128","5432589","42","8030","337665","N/A","N/A","N/A","N/A","73","5141","678","N/A","N/A","N/A","N/A","0","64","8","N/A","69291","31","5","11","N/A","N/A","N/A","N/A","N/A","N/A"
"441","Rockit Music","United States","Rock","Big Indie Labels, Universal Music Group","9095","18531","834","382958","1167531","383778884","8409","681306","1315421","5355","0","1430000","792060","591817865","4822","6577300","24388","3397","39900","5958","0","169","14418","213","1","4655","11","11468","9","14972","16633","3","184321","6","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"442","Thom Yorke","United Kingdom","Rock","Big Indie Labels, Warner Music Group","9104","7368","1676","1251688","1671756","681736603","86094","1851544","14892801","19840","0","298000","56430","121828256","653","1475491","17441","N/A","N/A","N/A","N/A","507","1056247","621","N/A","N/A","182","160149","28","20439","2282","12","15725","321","31","121","15630","138","5","159","71.64810136938321","308.1244559604538"
